"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene","Celltype"
0.00173312733527896,0.307061041561581,0.845,0.746,1,"2","CHP1","AVC"
0.00178540323710641,0.287750253525805,0.752,0.647,1,"2","EMC3","AVC"
0.00178577467777383,0.269958404205882,0.876,0.834,1,"2","SFXN1","AVC"
0.00180196265768399,0.366504552220152,0.596,0.474,1,"2","WDFY2","AVC"
0.00180824976196089,0.269325443758227,0.882,0.738,1,"2","COX14","AVC"
0.00182181569100414,0.451030082206867,0.615,0.503,1,"2","YPEL2","AVC"
0.00185322424173995,0.436270987752059,0.689,0.6,1,"2","DGKI","AVC"
0.00186274174903988,0.324803278146781,0.615,0.479,1,"2","EPB41L4A","AVC"
0.0018900399372676,0.680070666093833,0.292,0.187,1,"2","RHOF","AVC"
0.00199856029651883,0.424596434894941,0.658,0.57,1,"2","SIX5","AVC"
0.0020082547616891,0.449740342146195,0.553,0.41,1,"2","SLC16A12","AVC"
0.00200910540682101,0.431534202767346,0.634,0.524,1,"2","ST3GAL6","AVC"
0.00201461797340845,0.259854603520911,0.87,0.779,1,"2","NAV1","AVC"
0.00203906857925612,0.472250770564578,0.578,0.441,1,"2","SFXN4","AVC"
0.0020444723262541,0.70119849593176,0.429,0.309,1,"2","CPOX","AVC"
0.00204727087795832,0.26945962613138,0.913,0.864,1,"2","IGF2BP3","AVC"
0.00209447478776347,0.373265916696357,0.758,0.673,1,"2","DUSP3","AVC"
0.00209984404500541,0.250693598740547,0.907,0.836,1,"2","GOT2","AVC"
0.00211102697444673,0.334281631100041,0.789,0.714,1,"2","PHTF1","AVC"
0.00216005648747566,0.311859591540065,0.851,0.75,1,"2","SNRNP25","AVC"
0.00217269390307214,0.398323252385481,0.602,0.493,1,"2","PIGP","AVC"
